threshold,naive_proactive_catches,genuine_catches,chronic_reassignments,unplanned_failures,old_catch_rate,new_catch_rate
1,4218,3540,226,2871,0.5950063478628862,0.5521759475900796
2,4369,3667,234,2869,0.6036197844708483,0.561046511627907
3,4480,3757,241,2890,0.6078697421981004,0.5652173913043478
4,4656,3864,264,2861,0.619396035652521,0.5745724907063197
5,4775,3968,269,2818,0.6288686948505202,0.5847332743884468
6,4883,4040,281,2778,0.6373841535047644,0.5925491346435905
7,5087,4169,306,2745,0.649514811031665,0.6029794619612381
8,5215,4261,318,2742,0.655397762975996,0.6084535199200343
9,5319,4344,325,2744,0.6596800198437306,0.6128668171557562
10,5455,4357,366,2780,0.6624165148755312,0.6104805940871515
11,5585,4472,371,2715,0.6728915662650602,0.6222345902323639
12,5762,4595,389,2645,0.6853812299274414,0.6346685082872928
13,5910,4728,394,2648,0.6905819116616032,0.6409978308026031
14,6056,4730,442,2619,0.6980979827089338,0.6436249829908831
15,6191,4820,457,2631,0.7017683065064612,0.6468930344920145
16,6354,4947,469,2646,0.706,0.651521137890162
17,6534,4980,518,2621,0.7137083560895685,0.655176950401263
18,6672,5088,528,2616,0.7183462532299741,0.660436137071651
19,6783,5163,540,2585,0.7240606319385141,0.6663655136809499
20,6960,5175,595,2557,0.7313228958705474,0.6692964304190377
21,7137,5310,609,2510,0.7398154866797968,0.6790281329923273
22,7276,5404,624,2502,0.7441194518306402,0.6835314950670377
23,7454,5531,641,2496,0.749145728643216,0.6890494580789834
24,7713,5517,732,2475,0.7570671378091873,0.6903153153153153
25,7825,5581,748,2460,0.7608167233835683,0.6940679020022386
26,7933,5632,767,2495,0.7607403145377829,0.6929986464870186
27,8190,5652,846,2480,0.767572633552015,0.6950319724545008
28,8352,5757,865,2411,0.7759918238409366,0.7048237022526934
29,8476,5824,884,2445,0.7761194029850746,0.7043173297859475
30,8763,5820,981,2409,0.7843716433941997,0.7072548304775793
31,8887,5869,1006,2421,0.7859037849310223,0.7079613992762365
32,9080,5975,1035,2395,0.791285403050109,0.7138590203106332
33,9207,6048,1053,2374,0.7950090665745618,0.7181192115886963
34,9480,6060,1140,2356,0.8009462656302805,0.7200570342205324
35,9618,6126,1164,2363,0.8027710541691011,0.7216397691129697
36,9805,6247,1186,2351,0.806597564988483,0.7265643172830891
37,10095,6273,1274,2339,0.8118867621039086,0.7284022294472828
38,10275,6369,1302,2303,0.816902528223883,0.7344326568265682
39,10425,6444,1327,2289,0.8199622463426144,0.737890759189282
40,10742,6464,1426,2218,0.828858024691358,0.7445289103893112
41,10925,6560,1455,2258,0.828718804520974,0.7439328645951463
42,11104,6622,1494,2249,0.8315734291919419,0.7464772855371435
43,11295,6699,1532,2226,0.8353672065675616,0.7505882352941177
44,11507,6671,1612,2238,0.8371771553292107,0.748793355034235
45,11755,6775,1660,2205,0.8420487106017192,0.7544543429844098
46,11936,6833,1701,2178,0.845685135326626,0.7582954167129065
47,12203,6923,1760,2170,0.8490224726918528,0.7613548883756736
48,12382,6955,1809,2144,0.8524025884620681,0.764369710957248
49,12578,7028,1850,2135,0.8548902331271665,0.7669977081741788
50,12792,7065,1909,2157,0.8557094120008027,0.7661027976577749
51,13004,7097,1969,2137,0.8588600488739185,0.768572666233485
52,13272,7179,2031,2150,0.8605887692906238,0.7695358559331118
53,13467,7245,2074,2110,0.8645438787956603,0.7744521646178514
54,13759,7306,2151,2096,0.8678019552191738,0.7770687087853648
55,14016,7380,2212,2093,0.8700726302067168,0.779056265174707
56,14213,7403,2270,2044,0.8742695454265855,0.783635016407325
57,14537,7463,2358,2045,0.8766735013870463,0.7849179638199411
58,14785,7480,2435,2031,0.8792221693625119,0.7864577857217958
59,14978,7505,2491,2039,0.8801786448845272,0.7863579212070411
60,15359,7610,2583,2023,0.8836152341502704,0.7899927333125714
61,15659,7799,2620,1990,0.88724573630234,0.7967105935233425
62,15926,7856,2690,1997,0.8885789209395748,0.7973206130112656
63,16114,7879,2745,1975,0.8908176239703687,0.7995737771463365
64,16437,7902,2845,1963,0.8933152173913044,0.8010136847440446
65,16678,7921,2919,1921,0.8967148771439325,0.8048160942897785
66,16982,7958,3008,1914,0.8987087214225233,0.8061183144246353
67,17341,7948,3131,1931,0.8998028227480283,0.8045348719506022
68,17643,8040,3201,1903,0.9026399263276373,0.8086090717087399
69,17871,8016,3285,1923,0.9028493482873599,0.806519770600664
70,18223,8074,3383,1883,0.9063463642693723,0.8108868132971778
71,18441,8034,3469,1895,0.906815499606609,0.8091449289958706
72,18804,8094,3570,1879,0.909152444036165,0.8115912965005515
73,19068,8139,3643,1861,0.9110803191743514,0.8139
74,19493,8147,3782,1856,0.9130638437397536,0.8144556633010097
75,19717,8143,3858,1871,0.913331480452103,0.8131615737966846
76,20020,8188,3944,1819,0.9167086405055177,0.818227240931348
77,20411,8195,4072,1832,0.9176370093962145,0.8172933080682158
78,20693,8177,4172,1833,0.9186273639350084,0.8168831168831169
79,21127,8194,4311,1826,0.9204461290463121,0.8177644710578842
80,21666,8112,4518,1822,0.9224284741144414,0.8165894906382122
81,22094,8138,4652,1797,0.9247833912351932,0.8191243080020131
82,22535,8177,4786,1794,0.9262608409716799,0.8200782268578879
83,22852,8200,4884,1783,0.9276233001826669,0.8213963738355203
84,23658,8076,5194,1772,0.9303185214313803,0.8200649878147848
85,24215,8048,5389,1753,0.9324938385705484,0.8211406999285787
86,24663,8094,5523,1740,0.9340983979093285,0.8230628431970713
87,25510,8059,5817,1745,0.9359750504494588,0.8220114239086087
88,26076,7971,6035,1746,0.9372439076989433,0.8203149120098796
89,26678,7964,6238,1748,0.9385070006332231,0.8200164744645799
90,27527,7868,6553,1747,0.9403224704515952,0.8183047321892876
91,28361,7901,6820,1755,0.9417253287289149,0.8182477216238608
92,28983,7860,7041,1763,0.9426592077018149,0.816793099864907
93,29749,7831,7306,1757,0.9442328445375484,0.816750104297038
94,31096,7684,7804,1765,0.9462889139101062,0.8132077468515186
95,32101,7636,8155,1772,0.9476869483069111,0.8116496598639455
96,33218,7511,8569,1766,0.9495197804710724,0.8096367360137976
97,34394,7355,9013,1768,0.9511088988440904,0.8062040995286638
98,35709,7275,9478,1757,0.9531041477606363,0.8054694419840567
99,36952,7273,9893,1759,0.9545607191754282,0.8052480070859167
