threshold,precision,recall,avg_robots_down,pool_size,shortfall_prob,fp_cost_180d,fn_cost_180d,pool_cost_180d,chronic_cost_180d,total_cost_180d
1.0,0.8803680981595092,0.8466076696165191,4.65,16,8e-06,3510000,4312264,115200,180800,8118264
2.0,0.8067226890756303,0.8495575221238938,5.36,17,1.3e-05,6210000,4313045,122400,187200,10832645
3.0,0.7435897435897436,0.855457227138643,6.07,19,6e-06,9000000,4339388,136800,192800,13668988
4.0,0.69377990430622,0.855457227138643,6.71,20,8e-06,11520000,4297077,144000,211200,16172277
5.0,0.6575963718820862,0.855457227138643,7.23,21,7e-06,13590000,4232185,151200,215200,18188585
6.0,0.6170212765957447,0.855457227138643,7.86,22,9e-06,16200000,4172953,158400,224800,20756153
7.0,0.5692007797270955,0.8613569321533924,8.78,24,6e-06,19890000,4121432,172800,244800,24429032
8.0,0.5318761384335154,0.8613569321533924,9.59,25,9e-06,23130000,4118986,180000,254400,27683386
9.0,0.49491525423728816,0.8613569321533924,10.5,26,1.5e-05,26820000,4126157,187200,260000,31393357
10.0,0.47875816993464054,0.8643067846607669,10.99,27,1.2e-05,28710000,4178526,194400,292800,33375726
11.0,0.443267776096823,0.8643067846607669,12.04,29,9e-06,33120000,4078871,208800,296800,37704471
12.0,0.41917024320457796,0.8643067846607669,12.87,30,1.3e-05,36540000,3976019,216000,311200,41043219
13.0,0.39594594594594595,0.8643067846607669,13.81,32,8e-06,40230000,3977356,230400,315200,44752956
14.0,0.3788659793814433,0.8672566371681416,14.55,33,9e-06,43380000,3934662,237600,353600,47905862
15.0,0.36009732360097324,0.8731563421828908,15.53,34,1.5e-05,47340000,3956258,244800,365600,51906658
16.0,0.3468677494199536,0.8820058997050148,16.39,35,1.9e-05,50670000,3981714,252000,375200,55278914
17.0,0.3225458468176915,0.8820058997050148,17.78,38,9e-06,56520000,3937525,273600,414400,61145525
18.0,0.3082474226804124,0.8820058997050148,18.74,39,1.3e-05,60390000,3932583,280800,422400,65025783
19.0,0.29721669980119286,0.8820058997050148,19.53,40,1.5e-05,63630000,3887114,288000,432000,68237114
20.0,0.28763183125599234,0.8849557522123894,20.3,41,1.7e-05,66870000,3846055,295200,476000,71487255
21.0,0.273972602739726,0.8849557522123894,21.44,43,1.3e-05,71550000,3773076,309600,487200,76119876
22.0,0.2640845070422535,0.8849557522123894,22.35,44,1.6e-05,75240000,3763226,316800,499200,79819226
23.0,0.25359256128486896,0.8849557522123894,23.41,46,1.2e-05,79470000,3751230,331200,512800,84065230
24.0,0.23923444976076555,0.8849557522123894,24.92,48,1.3e-05,85860000,3720567,345600,585600,90511767
25.0,0.23405909797822705,0.887905604719764,25.61,49,1.3e-05,88650000,3697860,352800,598400,93299060
26.0,0.22638680659670166,0.8908554572271387,26.65,50,1.8e-05,92880000,3753491,360000,613600,97607091
27.0,0.21596578759800428,0.8938053097345132,28.11,52,1.8e-05,99000000,3731280,374400,676800,103782480
28.0,0.2125,0.9026548672566371,28.85,53,1.9e-05,102060000,3627671,381600,692000,106761271
29.0,0.2071767095463778,0.9026548672566371,29.69,54,2.1e-05,105390000,3680082,388800,707200,110166082
30.0,0.2023731048121292,0.9056047197640118,30.54,55,2.3e-05,108900000,3627251,396000,784800,113708051
31.0,0.19369085173501577,0.9056047197640118,32.0,57,2.3e-05,115020000,3645354,410400,804800,119880554
32.0,0.18903940886699508,0.9056047197640118,32.88,58,2.6e-05,118530000,3607904,417600,828000,123383504
33.0,0.185207456404089,0.9085545722713865,33.71,60,1.5e-05,121950000,3569941,432000,842400,126794341
34.0,0.17824074074074073,0.9085545722713865,35.11,61,2.6e-05,127800000,3549268,439200,912000,132700468
35.0,0.17470221213840045,0.9085545722713865,35.9,62,2.7e-05,130950000,3560302,446400,931200,135887902
36.0,0.1712860310421286,0.911504424778761,36.81,64,1.7e-05,134550000,3536409,460800,948800,139496009
37.0,0.1657725321888412,0.911504424778761,38.12,65,2.6e-05,139950000,3523770,468000,1019200,144960970
38.0,0.16325459317585303,0.9174041297935103,38.98,66,2.9e-05,143460000,3470836,475200,1041600,148447636
39.0,0.15875446656457376,0.9174041297935103,40.16,68,2.2e-05,148320000,3446119,489600,1061600,153317319
40.0,0.1548804780876494,0.9174041297935103,41.2,69,2.8e-05,152730000,3342162,496800,1140800,157709762
41.0,0.14949688548155246,0.9203539823008849,42.92,72,1.8e-05,159750000,3397262,518400,1164000,164829662
42.0,0.14620431115276475,0.9203539823008849,43.96,73,2.2e-05,163980000,3385927,525600,1195200,169086727
43.0,0.14279176201372998,0.9203539823008849,45.07,74,2.8e-05,168570000,3354729,532800,1225600,173683129
44.0,0.13985701519213584,0.9233038348082596,46.19,76,2.1e-05,173250000,3368843,547200,1289600,178455643
45.0,0.1375219683655536,0.9233038348082596,47.05,77,2.3e-05,176670000,3319931,554400,1328000,181872331
46.0,0.13476394849785409,0.9262536873156342,48.2,78,2.9e-05,181440000,3282812,561600,1360800,186645212
47.0,0.13110647181628393,0.9262536873156342,49.63,80,2.7e-05,187290000,3269588,576000,1408000,192543588
48.0,0.1281109751121991,0.9262536873156342,50.83,82,2.1e-05,192330000,3227405,590400,1447200,197595005
49.0,0.12665330661322646,0.9321533923303835,51.77,83,2.4e-05,196110000,3215097,597600,1480000,201402697
50.0,0.12411626080125687,0.9321533923303835,52.9,84,3e-05,200700000,3251433,604800,1527200,206083433
51.0,0.121960632960247,0.9321533923303835,53.88,85,3.4e-05,204750000,3223343,612000,1575200,210160543
