threshold,precision,recall,avg_robots_down,pool_size,shortfall_prob,fp_cost_180d,fn_cost_180d,pool_cost_180d,chronic_cost_180d,total_cost_180d
1.0,0.8803680981595092,0.8466076696165191,4.65,17,2e-06,3510000,4310322,122400,180800,8123522
2.0,0.8067226890756303,0.8495575221238938,5.36,18,4e-06,6210000,4310394,129600,187200,10837194
3.0,0.7435897435897436,0.855457227138643,6.07,20,2e-06,9000000,4338253,144000,192800,13675053
4.0,0.69377990430622,0.855457227138643,6.71,21,2e-06,11520000,4295862,151200,211200,16178262
5.0,0.6575963718820862,0.855457227138643,7.23,22,2e-06,13590000,4231177,158400,215200,18194777
6.0,0.6170212765957447,0.855457227138643,7.86,23,3e-06,16200000,4171995,165600,224800,20762395
7.0,0.5692007797270955,0.8613569321533924,8.78,24,6e-06,19890000,4127760,172800,244800,24435360
8.0,0.5318761384335154,0.8613569321533924,9.59,26,3e-06,23130000,4118448,187200,254400,27690048
9.0,0.49491525423728816,0.8613569321533924,10.5,27,5e-06,26820000,4125751,194400,260000,31400151
10.0,0.47875816993464054,0.8643067846607669,10.99,28,5e-06,28710000,4178274,201600,292800,33382674
11.0,0.443267776096823,0.8643067846607669,12.04,30,4e-06,33120000,4078841,216000,296800,37711641
12.0,0.41917024320457796,0.8643067846607669,12.87,31,5e-06,36540000,3976278,223200,311200,41050678
13.0,0.39594594594594595,0.8643067846607669,13.81,33,3e-06,40230000,3977575,237600,315200,44760375
14.0,0.3788659793814433,0.8672566371681416,14.55,34,4e-06,43380000,3935064,244800,353600,47913464
15.0,0.36009732360097324,0.8731563421828908,15.53,35,6e-06,47340000,3957285,252000,365600,51914885
16.0,0.3468677494199536,0.8820058997050148,16.39,37,4e-06,50670000,3975112,266400,375200,55286712
17.0,0.3225458468176915,0.8820058997050148,17.78,39,4e-06,56520000,3938366,280800,414400,61153566
18.0,0.3082474226804124,0.8820058997050148,18.74,40,6e-06,60390000,3934054,288000,422400,65034454
19.0,0.29721669980119286,0.8820058997050148,19.53,41,7e-06,63630000,3888951,295200,432000,68246151
20.0,0.28763183125599234,0.8849557522123894,20.3,42,8e-06,66870000,3848263,302400,476000,71496663
21.0,0.273972602739726,0.8849557522123894,21.44,44,6e-06,71550000,3774862,316800,487200,76128862
22.0,0.2640845070422535,0.8849557522123894,22.35,45,8e-06,75240000,3765732,324000,499200,79828932
23.0,0.25359256128486896,0.8849557522123894,23.41,47,6e-06,79470000,3753040,338400,512800,84074240
24.0,0.23923444976076555,0.8849557522123894,24.92,49,6e-06,85860000,3722809,352800,585600,90521209
25.0,0.23405909797822705,0.887905604719764,25.61,50,6e-06,88650000,3700118,360000,598400,93308518
26.0,0.22638680659670166,0.8908554572271387,26.65,52,4e-06,92880000,3749635,374400,613600,97617635
27.0,0.21596578759800428,0.8938053097345132,28.11,54,5e-06,99000000,3727564,388800,676800,103793164
28.0,0.2125,0.9026548672566371,28.85,55,5e-06,102060000,3624109,396000,692000,106772109
29.0,0.2071767095463778,0.9026548672566371,29.69,56,6e-06,105390000,3676256,403200,707200,110176656
30.0,0.2023731048121292,0.9056047197640118,30.54,57,6e-06,108900000,3623272,410400,784800,113718472
31.0,0.19369085173501577,0.9056047197640118,32.0,59,6e-06,115020000,3641601,424800,804800,119891201
32.0,0.18903940886699508,0.9056047197640118,32.88,60,7e-06,118530000,3603964,432000,828000,123393964
33.0,0.185207456404089,0.9085545722713865,33.71,61,8e-06,121950000,3573471,439200,842400,126805071
34.0,0.17824074074074073,0.9085545722713865,35.11,63,8e-06,127800000,3545767,453600,912000,132711367
35.0,0.17470221213840045,0.9085545722713865,35.9,64,8e-06,130950000,3556838,460800,931200,135898838
36.0,0.1712860310421286,0.911504424778761,36.81,65,9e-06,134550000,3540677,468000,948800,139507477
37.0,0.1657725321888412,0.911504424778761,38.12,67,8e-06,139950000,3520779,482400,1019200,144972379
38.0,0.16325459317585303,0.9174041297935103,38.98,68,9e-06,143460000,3467838,489600,1041600,148459038
