threshold,TP,FP,FN,TN,recall,precision,avg_robots_down,pool_size,fp_cost,fn_cost,pool_cost,total_cost
1,287,39,52,9622,0.8466,0.8804,36.1,46,19500,13000000,4600,13024100
2,288,69,51,9592,0.8496,0.8067,36.8,47,34500,12750000,4700,12789200
3,290,100,49,9561,0.8555,0.7436,37.4,48,50000,12250000,4800,12304800
4,290,128,49,9533,0.8555,0.6938,38.0,48,64000,12250000,4800,12318800
5,290,151,49,9510,0.8555,0.6576,38.5,49,75500,12250000,4900,12330400
6,290,180,49,9481,0.8555,0.617,39.1,50,90000,12250000,5000,12345000
7,292,221,47,9440,0.8614,0.5692,39.9,51,110500,11750000,5100,11865600
8,292,257,47,9404,0.8614,0.5319,40.7,51,128500,11750000,5100,11883600
9,292,298,47,9363,0.8614,0.4949,41.5,52,149000,11750000,5200,11904200
10,293,319,46,9342,0.8643,0.4788,42.0,53,159500,11500000,5300,11664800
11,293,368,46,9293,0.8643,0.4433,43.0,54,184000,11500000,5400,11689400
12,293,406,46,9255,0.8643,0.4192,43.8,55,203000,11500000,5500,11708500
13,293,447,46,9214,0.8643,0.3959,44.6,56,223500,11500000,5600,11729100
14,294,482,45,9179,0.8673,0.3789,45.4,57,241000,11250000,5700,11496700
15,296,526,43,9135,0.8732,0.3601,46.3,58,263000,10750000,5800,11018800
16,299,563,40,9098,0.882,0.3469,47.0,59,281500,10000000,5900,10287400
17,299,628,40,9033,0.882,0.3225,48.4,60,314000,10000000,6000,10320000
18,299,671,40,8990,0.882,0.3082,49.3,61,335500,10000000,6100,10341600
19,299,707,40,8954,0.882,0.2972,50.0,62,353500,10000000,6200,10359700
20,300,743,39,8918,0.885,0.2876,50.8,63,371500,9750000,6300,10127800
21,300,795,39,8866,0.885,0.274,51.9,64,397500,9750000,6400,10153900
22,300,836,39,8825,0.885,0.2641,52.7,65,418000,9750000,6500,10174500
23,300,883,39,8778,0.885,0.2536,53.7,66,441500,9750000,6600,10198100
24,300,954,39,8707,0.885,0.2392,55.2,68,477000,9750000,6800,10233800
25,301,985,38,8676,0.8879,0.2341,55.8,68,492500,9500000,6800,9999300
26,302,1032,37,8629,0.8909,0.2264,56.8,69,516000,9250000,6900,9772900
