threshold,TP,FP,FN,TN,recall,precision,avg_robots_down,pool_size,fp_cost,fn_cost,pool_cost,total_cost
1,287,39,52,9622,0.8466,0.8804,36.1,46,19500,33800000,4600,33824100
2,288,69,51,9592,0.8496,0.8067,36.8,47,34500,33150000,4700,33189200
3,290,100,49,9561,0.8555,0.7436,37.4,48,50000,31850000,4800,31904800
4,290,128,49,9533,0.8555,0.6938,38.0,48,64000,31850000,4800,31918800
5,290,151,49,9510,0.8555,0.6576,38.5,49,75500,31850000,4900,31930400
6,290,180,49,9481,0.8555,0.617,39.1,50,90000,31850000,5000,31945000
7,292,221,47,9440,0.8614,0.5692,39.9,51,110500,30550000,5100,30665600
8,292,257,47,9404,0.8614,0.5319,40.7,51,128500,30550000,5100,30683600
9,292,298,47,9363,0.8614,0.4949,41.5,52,149000,30550000,5200,30704200
10,293,319,46,9342,0.8643,0.4788,42.0,53,159500,29900000,5300,30064800
11,293,368,46,9293,0.8643,0.4433,43.0,54,184000,29900000,5400,30089400
12,293,406,46,9255,0.8643,0.4192,43.8,55,203000,29900000,5500,30108500
13,293,447,46,9214,0.8643,0.3959,44.6,56,223500,29900000,5600,30129100
14,294,482,45,9179,0.8673,0.3789,45.4,57,241000,29250000,5700,29496700
15,296,526,43,9135,0.8732,0.3601,46.3,58,263000,27950000,5800,28218800
16,299,563,40,9098,0.882,0.3469,47.0,59,281500,26000000,5900,26287400
17,299,628,40,9033,0.882,0.3225,48.4,60,314000,26000000,6000,26320000
18,299,671,40,8990,0.882,0.3082,49.3,61,335500,26000000,6100,26341600
19,299,707,40,8954,0.882,0.2972,50.0,62,353500,26000000,6200,26359700
20,300,743,39,8918,0.885,0.2876,50.8,63,371500,25350000,6300,25727800
21,300,795,39,8866,0.885,0.274,51.9,64,397500,25350000,6400,25753900
22,300,836,39,8825,0.885,0.2641,52.7,65,418000,25350000,6500,25774500
23,300,883,39,8778,0.885,0.2536,53.7,66,441500,25350000,6600,25798100
24,300,954,39,8707,0.885,0.2392,55.2,68,477000,25350000,6800,25833800
25,301,985,38,8676,0.8879,0.2341,55.8,68,492500,24700000,6800,25199300
26,302,1032,37,8629,0.8909,0.2264,56.8,69,516000,24050000,6900,24572900
27,303,1100,36,8561,0.8938,0.216,58.2,71,550000,23400000,7100,23957100
28,306,1134,33,8527,0.9027,0.2125,58.9,72,567000,21450000,7200,22024200
29,306,1171,33,8490,0.9027,0.2072,59.7,73,585500,21450000,7300,22042800
30,307,1210,32,8451,0.9056,0.2024,60.5,74,605000,20800000,7400,21412400
31,307,1278,32,8383,0.9056,0.1937,61.9,75,639000,20800000,7500,21446500
32,307,1317,32,8344,0.9056,0.189,62.8,76,658500,20800000,7600,21466100
33,308,1355,31,8306,0.9086,0.1852,63.5,77,677500,20150000,7700,20835200
34,308,1420,31,8241,0.9086,0.1782,64.9,78,710000,20150000,7800,20867800
35,308,1455,31,8206,0.9086,0.1747,65.6,79,727500,20150000,7900,20885400
36,309,1495,30,8166,0.9115,0.1713,66.5,80,747500,19500000,8000,20255500
37,309,1555,30,8106,0.9115,0.1658,67.7,82,777500,19500000,8200,20285700
38,311,1594,28,8067,0.9174,0.1633,68.5,82,797000,18200000,8200,19005200
39,311,1648,28,8013,0.9174,0.1588,69.6,84,824000,18200000,8400,19032400
40,311,1697,28,7964,0.9174,0.1549,70.7,85,848500,18200000,8500,19057000
41,312,1775,27,7886,0.9204,0.1495,72.3,87,887500,17550000,8700,18446200
42,312,1822,27,7839,0.9204,0.1462,73.3,88,911000,17550000,8800,18469800
43,312,1873,27,7788,0.9204,0.1428,74.3,89,936500,17550000,8900,18495400
44,313,1925,26,7736,0.9233,0.1399,75.4,90,962500,16900000,9000,17871500
45,313,1963,26,7698,0.9233,0.1375,76.2,91,981500,16900000,9100,17890600
46,314,2016,25,7645,0.9263,0.1348,77.3,92,1008000,16250000,9200,17267200
47,314,2081,25,7580,0.9263,0.1311,78.7,94,1040500,16250000,9400,17299900
48,314,2137,25,7524,0.9263,0.1281,79.8,95,1068500,16250000,9500,17328000
49,316,2179,23,7482,0.9322,0.1267,80.7,96,1089500,14950000,9600,16049100
50,316,2230,23,7431,0.9322,0.1241,81.8,97,1115000,14950000,9700,16074700
51,316,2275,23,7386,0.9322,0.122,82.7,98,1137500,14950000,9800,16097300
52,318,2335,21,7326,0.9381,0.1199,84.0,99,1167500,13650000,9900,14827400
53,320,2386,19,7275,0.944,0.1183,85.0,100,1193000,12350000,10000,13553000
54,321,2451,18,7210,0.9469,0.1158,86.4,102,1225500,11700000,10200,12935700
55,321,2516,18,7145,0.9469,0.1131,87.7,103,1258000,11700000,10300,12968300
56,321,2586,18,7075,0.9469,0.1104,89.2,105,1293000,11700000,10500,13003500
57,321,2653,18,7008,0.9469,0.1079,90.6,107,1326500,11700000,10700,13037200
58,321,2712,18,6949,0.9469,0.1058,91.8,108,1356000,11700000,10800,13066800
59,321,2764,18,6897,0.9469,0.1041,92.9,109,1382000,11700000,10900,13092900
60,321,2832,18,6829,0.9469,0.1018,94.3,111,1416000,11700000,11100,13127100
61,323,2881,16,6780,0.9528,0.1008,95.3,112,1440500,10400000,11200,11851700
62,324,2927,15,6734,0.9558,0.0997,96.3,113,1463500,9750000,11300,11224800
63,325,2984,14,6677,0.9587,0.0982,97.5,114,1492000,9100000,11400,10603400
64,325,3065,14,6596,0.9587,0.0959,99.2,116,1532500,9100000,11600,10644100
65,325,3132,14,6529,0.9587,0.094,100.6,117,1566000,9100000,11700,10677700
66,326,3193,13,6468,0.9617,0.0926,101.8,119,1596500,8450000,11900,10058400
67,327,3271,12,6390,0.9646,0.0909,103.5,120,1635500,7800000,12000,9447500
68,327,3314,12,6347,0.9646,0.0898,104.4,121,1657000,7800000,12100,9469100
69,328,3369,11,6292,0.9676,0.0887,105.5,123,1684500,7150000,12300,8846800
70,330,3440,9,6221,0.9735,0.0875,107.0,124,1720000,5850000,12400,7582400
71,330,3496,9,6165,0.9735,0.0863,108.1,126,1748000,5850000,12600,7610600
72,331,3562,8,6099,0.9764,0.085,109.5,127,1781000,5200000,12700,6993700
73,332,3636,7,6025,0.9794,0.0837,111.1,129,1818000,4550000,12900,6380900
74,332,3722,7,5939,0.9794,0.0819,112.9,131,1861000,4550000,13100,6424100
75,332,3790,7,5871,0.9794,0.0805,114.3,132,1895000,4550000,13200,6458200
76,332,3846,7,5815,0.9794,0.0795,115.4,133,1923000,4550000,13300,6486300
77,332,3929,7,5732,0.9794,0.0779,117.2,135,1964500,4550000,13500,6528000
78,332,4000,7,5661,0.9794,0.0766,118.6,137,2000000,4550000,13700,6563700
79,332,4083,7,5578,0.9794,0.0752,120.4,139,2041500,4550000,13900,6605400
80,332,4199,7,5462,0.9794,0.0733,122.8,141,2099500,4550000,14100,6663600
81,332,4286,7,5375,0.9794,0.0719,124.6,143,2143000,4550000,14300,6707300
82,332,4361,7,5300,0.9794,0.0707,126.2,145,2180500,4550000,14500,6745000
83,332,4429,7,5232,0.9794,0.0697,127.6,146,2214500,4550000,14600,6779100
84,333,4567,6,5094,0.9823,0.068,130.5,150,2283500,3900000,15000,6198500
85,334,4648,5,5013,0.9853,0.067,132.1,151,2324000,3250000,15100,5589100
86,334,4725,5,4936,0.9853,0.066,133.8,153,2362500,3250000,15300,5627800
87,335,4839,4,4822,0.9882,0.0647,136.1,156,2419500,2600000,15600,5035100
88,335,4948,4,4713,0.9882,0.0634,138.4,158,2474000,2600000,15800,5089800
89,335,5049,4,4612,0.9882,0.0622,140.5,160,2524500,2600000,16000,5140500
90,336,5176,3,4485,0.9912,0.061,143.1,163,2588000,1950000,16300,4554300
91,336,5279,3,4382,0.9912,0.0598,145.3,165,2639500,1950000,16500,4606000
92,336,5369,3,4292,0.9912,0.0589,147.2,167,2684500,1950000,16700,4651200
93,336,5459,3,4202,0.9912,0.058,149.0,169,2729500,1950000,16900,4696400
94,336,5624,3,4037,0.9912,0.0564,152.5,173,2812000,1950000,17300,4779300
95,336,5733,3,3928,0.9912,0.0554,154.8,175,2866500,1950000,17500,4834000
96,336,5875,3,3786,0.9912,0.0541,157.7,179,2937500,1950000,17900,4905400
97,336,5998,3,3663,0.9912,0.053,160.3,181,2999000,1950000,18100,4967100
98,336,6150,3,3511,0.9912,0.0518,163.4,185,3075000,1950000,18500,5043500
