day,flagged,unplanned,chronic_today,mean_health,pct_fleet_health_lt_50
0,326,14,0,71.83,25.5
1,233,8,0,72.12,25.2
2,231,17,225,71.97,25.34
3,5,15,0,73.65,23.6
4,8,13,0,73.51,23.73
5,8,8,1,73.35,23.99
6,5,12,0,73.21,24.22
7,3,15,0,73.02,24.53
8,6,17,0,72.84,24.74
9,4,22,0,72.67,24.97
10,7,10,0,72.5,25.12
11,7,12,0,72.33,25.3
12,5,8,0,72.18,25.54
13,6,15,0,71.99,25.79
14,3,6,0,71.81,25.95
15,3,11,0,71.59,26.33
16,7,14,0,71.42,26.49
17,12,10,0,71.24,26.65
18,10,19,0,71.09,26.77
19,6,16,0,70.94,26.87
20,9,22,0,70.78,27.08
21,11,11,0,70.65,27.25
22,9,20,0,70.49,27.37
23,14,17,0,70.37,27.55
24,8,18,0,70.27,27.68
25,13,17,0,70.1,27.98
26,18,22,0,70.0,28.13
27,18,16,0,69.91,28.26
28,13,23,0,69.81,28.48
29,11,13,0,69.74,28.59
30,9,20,0,69.63,28.66
31,11,17,0,69.56,28.86
32,10,22,0,69.42,28.96
33,15,17,0,69.31,29.09
34,14,16,0,69.2,29.23
35,8,9,0,69.1,29.37
36,11,11,0,68.92,29.63
37,6,20,0,68.79,29.72
38,13,16,0,68.67,29.74
39,13,25,0,68.55,29.77
40,17,15,0,68.46,29.82
41,18,19,0,68.39,29.88
42,18,19,0,68.33,30.07
43,14,17,0,68.25,30.28
44,14,17,0,68.17,30.39
45,10,12,0,68.08,30.58
46,16,21,0,67.96,30.75
47,9,16,0,67.87,30.97
48,17,16,0,67.74,31.23
49,14,15,0,67.64,31.33
50,18,12,0,67.52,31.49
51,19,14,0,67.45,31.49
52,15,17,0,67.37,31.64
53,17,18,0,67.27,31.74
54,23,14,0,67.19,31.92
55,18,12,0,67.17,31.93
56,8,19,0,67.06,32.08
57,18,11,0,66.89,32.27
58,12,20,0,66.81,32.4
59,18,16,0,66.68,32.47
