threshold,genuine_catches_180d,chronic_reassignments_180d,unplanned_180d,fp_static_1day,static_fn_1day,static_fn_180d_naive_estimate,compounding_gap,compounding_gap_pct
1,3540,226,2871,39,52,9360,-6489,-69.3
5,3968,269,2818,151,49,8820,-6002,-68.0
10,4357,366,2780,319,46,8280,-5500,-66.4
15,4820,457,2631,526,43,7740,-5109,-66.0
20,5175,595,2557,743,39,7020,-4463,-63.6
25,5581,748,2460,985,38,6840,-4380,-64.0
30,5820,981,2409,1210,32,5760,-3351,-58.2
40,6464,1426,2218,1697,28,5040,-2822,-56.0
50,7065,1909,2157,2230,23,4140,-1983,-47.9
60,7610,2583,2023,2832,18,3240,-1217,-37.6
70,8074,3383,1883,3440,9,1620,263,16.2
80,8112,4518,1822,4199,7,1260,562,44.6
90,7868,6553,1747,5176,3,540,1207,223.5
