UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,tripped_modes
1222,M16081,M,297.0,308.3,1399,46.4,132,0,0,0,0,0,1,RNF
1303,L48482,L,298.6,309.8,1505,45.7,144,0,0,0,0,0,1,RNF
1749,H31162,H,298.4,307.7,1626,31.1,166,0,0,0,0,0,1,RNF
2073,L49252,L,299.6,309.5,1570,35.5,189,0,0,0,0,0,1,RNF
2560,L49739,L,299.3,309.0,1447,50.4,140,0,0,0,0,0,1,RNF
3066,M17925,M,300.1,309.2,1687,27.7,95,0,0,0,0,0,1,RNF
3453,H32866,H,301.6,310.5,1602,32.3,2,0,0,0,0,0,1,RNF
5472,L52651,L,302.7,312.3,1346,61.2,170,0,0,0,0,0,1,RNF
5490,L52669,L,302.6,312.1,1499,35.0,215,0,0,0,0,0,1,RNF
5496,H34909,H,302.9,312.5,1357,55.0,12,0,0,0,0,0,1,RNF
5510,L52689,L,302.8,312.2,1509,36.5,52,0,0,0,0,0,1,RNF
5554,L52733,L,302.5,311.9,1306,59.7,172,0,0,0,0,0,1,RNF
5640,L52819,L,302.6,312.1,1668,28.7,180,0,0,0,0,0,1,RNF
6092,L53271,L,300.9,310.7,1412,57.5,16,0,0,0,0,0,1,RNF
6914,L54093,L,300.8,311.2,1481,38.5,181,0,0,0,0,0,1,RNF
6961,L54140,L,300.7,311.0,1413,52.0,91,0,0,0,0,0,1,RNF
7489,L54668,L,300.3,311.7,1545,43.5,160,0,0,0,0,0,1,RNF
7869,H37282,H,300.4,311.9,1438,46.7,41,0,0,0,0,0,1,RNF
