UDI,Product ID,Type,air_temp,process_temp,rpm,torque,wear,failure,TWF,HDF,PWF,OSF,RNF,health_score,p_fail_composite,risk_OSF,risk_HDF,risk_PWF,risk_TWF,risk_RNF_baseline,osf_ratio_to_threshold,dominant_mode,dominant_mode_normalized_score
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.0,none,0.0
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,70.1,0.2989,0.0,0.298,0.0,0.0,0.001,0.013,HDF,0.298
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,91.4,0.0862,0.0,0.085,0.0,0.0,0.001,0.022,HDF,0.085
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,74.1,0.2594,0.0,0.259,0.0,0.0,0.001,0.025,HDF,0.259
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,70.1,0.2989,0.0,0.298,0.0,0.0,0.001,0.033,HDF,0.298
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,74.3,0.2574,0.0,0.257,0.0,0.0,0.001,0.038,HDF,0.257
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.054,none,0.0
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,99.2,0.0083,0.0,0.007,0.0,0.0,0.001,0.058,none,0.007
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.043,none,0.0
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.049,none,0.0
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.044,none,0.0
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,73.8,0.2623,0.0,0.262,0.0,0.0,0.001,0.099,HDF,0.262
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,63.3,0.3673,0.0,0.367,0.0,0.0,0.001,0.145,HDF,0.367
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.092,none,0.0
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.071,none,0.0
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.185,none,0.0
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,66.6,0.334,0.0,0.333,0.0,0.0,0.001,0.171,HDF,0.333
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,70.6,0.294,0.0,0.293,0.0,0.0,0.001,0.179,HDF,0.293
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,59.9,0.4006,0.0,0.4,0.0,0.0,0.001,0.21,HDF,0.4
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.149,none,0.0
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,59.9,0.4006,0.0,0.4,0.0,0.0,0.001,0.191,HDF,0.4
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,80.4,0.1964,0.0,0.196,0.0,0.0,0.001,0.257,HDF,0.196
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.166,none,0.0
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.159,none,0.0
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.218,none,0.0
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.155,none,0.0
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,95.1,0.049,0.0,0.048,0.0,0.0,0.001,0.266,HDF,0.048
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.146,none,0.0
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,73.6,0.2636,0.0,0.263,0.0,0.0,0.001,0.329,HDF,0.263
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.23,none,0.0
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,59.9,0.4006,0.0,0.4,0.0,0.0,0.001,0.345,HDF,0.4
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.206,none,0.0
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,70.3,0.2967,0.0,0.296,0.0,0.0,0.001,0.4,HDF,0.296
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.275,none,0.0
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.275,none,0.0
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,79.1,0.2088,0.0,0.208,0.0,0.0,0.001,0.397,HDF,0.208
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.309,none,0.0
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,73.6,0.2636,0.0,0.263,0.0,0.0,0.001,0.371,HDF,0.263
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,56.6,0.4339,0.0,0.433,0.0,0.0,0.001,0.413,HDF,0.433
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,53.2,0.4676,0.06,0.433,0.0,0.0,0.001,0.53,HDF,0.433
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,56.6,0.4339,0.0,0.433,0.0,0.0,0.001,0.466,HDF,0.433
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,53.1,0.4691,0.062,0.433,0.0,0.0,0.001,0.531,HDF,0.433
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,56.6,0.4339,0.0,0.433,0.0,0.0,0.001,0.479,HDF,0.433
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,59.9,0.4006,0.0,0.4,0.0,0.0,0.001,0.448,HDF,0.4
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,83.2,0.1684,0.0,0.168,0.0,0.0,0.001,0.495,HDF,0.168
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,75.5,0.245,0.143,0.118,0.0,0.0,0.001,0.571,OSF/HDF,0.143
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.28,none,0.0
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,59.5,0.4051,0.12,0.324,0.0,0.0,0.001,0.56,HDF,0.324
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,63.3,0.3666,0.119,0.28,0.0,0.0,0.001,0.56,HDF,0.28
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,63.9,0.3606,0.029,0.341,0.0,0.0,0.001,0.514,HDF,0.341
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.001,0.06,PWF,1.0
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,30.0,0.7004,0.447,0.457,0.0,0.0,0.001,0.724,HDF/OSF,0.457
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,89.6,0.1036,0.0,0.103,0.0,0.0,0.001,0.495,HDF,0.103
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.485,none,0.0
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.421,none,0.0
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,80.1,0.1992,0.154,0.052,0.0,0.0,0.001,0.577,OSF/HDF,0.154
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,66.2,0.3384,0.218,0.153,0.0,0.0,0.001,0.609,OSF/HDF,0.218
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,78.6,0.2138,0.172,0.049,0.0,0.0,0.001,0.586,OSF/HDF,0.172
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.398,none,0.0
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,20.8,0.7917,0.632,0.433,0.0,0.0,0.001,0.816,OSF,0.632
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,24.3,0.7568,0.597,0.396,0.0,0.0,0.001,0.799,OSF,0.597
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,92.3,0.0769,0.076,0.0,0.0,0.0,0.001,0.538,OSF,0.076
