threshold,TP,FP,FN,avg_down,best_pool_size,shortfall_prob_at_best_pool,fp_cost,fn_cost_at_best_pool,pool_cost_at_best_pool,total_cost
1,287,39,52,36.1,64,0.0,19500,78126,6400,104026
2,288,69,51,36.8,64,0.0,34500,76705,6400,117605
3,290,100,49,37.4,65,0.0,50000,73682,6500,130182
4,290,128,49,38.0,66,0.0,64000,73660,6600,144260
5,290,151,49,38.5,67,0.0,75500,73630,6700,155830
6,290,180,49,39.1,67,0.0,90000,73709,6700,170409
7,292,221,47,39.9,68,0.0,110500,70716,6800,188016
8,292,257,47,40.7,69,0.0,128500,70716,6900,206116
9,292,298,47,41.5,71,0.0,149000,70632,7100,226732
10,293,319,46,42.0,71,0.0,159500,69179,7100,235779
11,293,368,46,43.0,72,0.0,184000,69218,7200,260418
12,293,406,46,43.8,73,0.0,203000,69222,7300,279522
13,293,447,46,44.6,75,0.0,223500,69137,7500,300137
14,294,482,45,45.4,75,0.0,241000,67726,7500,316226
15,296,526,43,46.3,77,0.0,263000,64640,7700,335340
16,299,563,40,47.0,77,0.0,281500,60224,7700,349424
17,299,628,40,48.4,79,0.0,314000,60197,7900,382097
18,299,671,40,49.3,80,0.0,335500,60214,8000,403714
19,299,707,40,50.0,81,0.0,353500,60211,8100,421811
20,300,743,39,50.8,82,0.0,371500,58702,8200,438402
21,300,795,39,51.9,83,0.0,397500,58746,8300,464546
22,300,836,39,52.7,85,0.0,418000,58656,8500,485156
23,300,883,39,53.7,86,0.0,441500,58678,8600,508778
24,300,954,39,55.2,88,0.0,477000,58669,8800,544469
25,301,985,38,55.8,88,0.0,492500,57247,8800,558547
26,302,1032,37,56.8,90,0.0,516000,55666,9000,580666
27,303,1100,36,58.2,91,0.0,550000,54238,9100,613338
28,306,1134,33,58.9,92,0.0,567000,49708,9200,625908
29,306,1171,33,59.7,93,0.0,585500,49705,9300,644505
30,307,1210,32,60.5,94,0.0,605000,48201,9400,662601
31,307,1278,32,61.9,96,0.0,639000,48182,9600,696782
32,307,1317,32,62.8,97,0.0,658500,48184,9700,716384
33,308,1355,31,63.5,98,0.0,677500,46678,9800,733978
34,308,1420,31,64.9,99,0.0,710000,46745,9900,766645
35,308,1455,31,65.6,100,0.0,727500,46735,10000,784235
36,309,1495,30,66.5,101,0.0,747500,45232,10100,802832
37,309,1555,30,67.7,103,0.0,777500,45190,10300,832990
38,311,1594,28,68.5,103,0.0,797000,42278,10300,849578
39,311,1648,28,69.6,105,0.0,824000,42213,10500,876713
40,311,1697,28,70.7,106,0.0,848500,42239,10600,901339
41,312,1775,27,72.3,108,0.0,887500,40731,10800,939031
42,312,1822,27,73.3,109,0.0,911000,40753,10900,962653
43,312,1873,27,74.3,110,0.0,936500,40788,11000,988288
44,313,1925,26,75.4,112,0.0,962500,39209,11200,1012909
45,313,1963,26,76.2,113,0.0,981500,39207,11300,1032007
46,314,2016,25,77.3,114,0.0,1008000,37731,11400,1057131
47,314,2081,25,78.7,116,0.0,1040500,37700,11600,1089800
48,314,2137,25,79.8,117,0.0,1068500,37739,11700,1117939
49,316,2179,23,80.7,118,0.0,1089500,34726,11800,1136026
50,316,2230,23,81.8,119,0.0,1115000,34755,11900,1161655
51,316,2275,23,82.7,120,0.0,1137500,34770,12000,1184270
52,318,2335,21,84.0,121,0.0001,1167500,31802,12100,1211402
53,320,2386,19,85.0,122,0.0001,1193000,28806,12200,1234006
54,321,2451,18,86.4,124,0.0001,1225500,27251,12400,1265151
55,321,2516,18,87.7,126,0.0,1258000,27218,12600,1297818
56,321,2586,18,89.2,127,0.0001,1293000,27292,12700,1332992
57,321,2653,18,90.6,129,0.0001,1326500,27259,12900,1366659
58,321,2712,18,91.8,130,0.0001,1356000,27310,13000,1396310
59,321,2764,18,92.9,132,0.0001,1382000,27238,13200,1422438
60,321,2832,18,94.3,133,0.0001,1416000,27309,13300,1456609
61,323,2881,16,95.3,134,0.0001,1440500,24298,13400,1478198
62,324,2927,15,96.3,135,0.0001,1463500,22794,13500,1499794
63,325,2984,14,97.5,136,0.0001,1492000,21319,13600,1526919
64,325,3065,14,99.2,138,0.0001,1532500,21320,13800,1567620
65,325,3132,14,100.6,140,0.0001,1566000,21283,14000,1601283
66,326,3193,13,101.8,141,0.0001,1596500,19815,14100,1630415
67,327,3271,12,103.5,143,0.0001,1635500,18283,14300,1668083
68,327,3314,12,104.4,144,0.0001,1657000,18289,14400,1689689
69,328,3369,11,105.5,145,0.0001,1684500,16799,14500,1715799
70,330,3440,9,107.0,146,0.0001,1720000,13815,14600,1748415
71,330,3496,9,108.1,148,0.0001,1748000,13755,14800,1776555
72,331,3562,8,109.5,149,0.0001,1781000,12279,14900,1808179
73,332,3636,7,111.1,150,0.0002,1818000,10819,15000,1843819
74,332,3722,7,112.9,152,0.0002,1861000,10828,15200,1887028
75,332,3790,7,114.3,154,0.0002,1895000,10794,15400,1921194
76,332,3846,7,115.4,155,0.0002,1923000,10830,15500,1949330
77,332,3929,7,117.2,157,0.0002,1964500,10831,15700,1991031
78,332,4000,7,118.6,159,0.0002,2000000,10803,15900,2026703
79,332,4083,7,120.4,161,0.0002,2041500,10805,16100,2068405
80,332,4199,7,122.8,164,0.0002,2099500,10787,16400,2126687
81,332,4286,7,124.6,166,0.0002,2143000,10797,16600,2170397
82,332,4361,7,126.2,168,0.0002,2180500,10780,16800,2208080
83,332,4429,7,127.6,169,0.0002,2214500,10841,16900,2242241
84,333,4567,6,130.5,172,0.0002,2283500,9322,17200,2310022
85,334,4648,5,132.1,173,0.0003,2324000,7855,17300,2349155
86,334,4725,5,133.8,175,0.0003,2362500,7840,17500,2387840
87,335,4839,4,136.1,177,0.0003,2419500,6335,17700,2443535
88,335,4948,4,138.4,179,0.0004,2474000,6397,17900,2498297
89,335,5049,4,140.5,182,0.0003,2524500,6336,18200,2549036
90,336,5176,3,143.1,184,0.0004,2588000,4835,18400,2611235
91,336,5279,3,145.3,186,0.0005,2639500,4878,18600,2662978
92,336,5369,3,147.2,188,0.0005,2684500,4891,18800,2708191
93,336,5459,3,149.0,190,0.0005,2729500,4905,19000,2753405
94,336,5624,3,152.5,194,0.0005,2812000,4894,19400,2836294
95,336,5733,3,154.8,197,0.0005,2866500,4852,19700,2891052
96,336,5875,3,157.7,200,0.0005,2937500,4885,20000,2962385
97,336,5998,3,160.3,203,0.0005,2999000,4875,20300,3024175
98,336,6150,3,163.4,206,0.0006,3075000,4934,20600,3100534
99,336,6268,3,165.9,209,0.0005,3134000,4910,20900,3159810
