threshold,TP,FP,FN,avg_down,best_pool_size,shortfall_prob_at_best_pool,fp_cost,fn_cost_at_best_pool,pool_cost_at_best_pool,total_cost
1,287,39,52,36.1,65,0.0,19500,78177,6500,104177
2,288,69,51,36.8,66,0.0,34500,76658,6600,117758
3,290,100,49,37.4,67,0.0,50000,73641,6700,130341
4,290,128,49,38.0,68,0.0,64000,73625,6800,144425
5,290,151,49,38.5,68,0.0,75500,73686,6800,155986
6,290,180,49,39.1,69,0.0,90000,73666,6900,170566
7,292,221,47,39.9,70,0.0,110500,70675,7000,188175
8,292,257,47,40.7,71,0.0,128500,70676,7100,206276
9,292,298,47,41.5,72,0.0,149000,70692,7200,226892
10,293,319,46,42.0,73,0.0,159500,69148,7300,235948
11,293,368,46,43.0,74,0.0,184000,69183,7400,260583
12,293,406,46,43.8,75,0.0,203000,69189,7500,279689
13,293,447,46,44.6,76,0.0,223500,69204,7600,300304
14,294,482,45,45.4,77,0.0,241000,67696,7700,316396
15,296,526,43,46.3,78,0.0,263000,64711,7800,335511
16,299,563,40,47.0,79,0.0,281500,60198,7900,349598
17,299,628,40,48.4,81,0.0,314000,60175,8100,382275
18,299,671,40,49.3,82,0.0,335500,60193,8200,403893
19,299,707,40,50.0,83,0.0,353500,60191,8300,421991
20,300,743,39,50.8,84,0.0,371500,58684,8400,438584
21,300,795,39,51.9,85,0.0,397500,58729,8500,464729
22,300,836,39,52.7,86,0.0,418000,58743,8600,485343
23,300,883,39,53.7,88,0.0,441500,58666,8800,508966
24,300,954,39,55.2,90,0.0,477000,58659,9000,544659
25,301,985,38,55.8,90,0.0,492500,57237,9000,558737
26,302,1032,37,56.8,92,0.0,516000,55658,9200,580858
27,303,1100,36,58.2,93,0.0,550000,54234,9300,613534
28,306,1134,33,58.9,94,0.0,567000,49704,9400,626104
29,306,1171,33,59.7,95,0.0,585500,49703,9500,644703
30,307,1210,32,60.5,96,0.0,605000,48200,9600,662800
31,307,1278,32,61.9,98,0.0,639000,48182,9800,696982
32,307,1317,32,62.8,99,0.0,658500,48185,9900,716585
33,308,1355,31,63.5,100,0.0,677500,46680,10000,734180
34,308,1420,31,64.9,101,0.0,710000,46753,10100,766853
35,308,1455,31,65.6,102,0.0,727500,46744,10200,784444
36,309,1495,30,66.5,103,0.0,747500,45242,10300,803042
37,309,1555,30,67.7,105,0.0,777500,45198,10500,833198
38,311,1594,28,68.5,106,0.0,797000,42187,10600,849787
39,311,1648,28,69.6,107,0.0,824000,42226,10700,876926
40,311,1697,28,70.7,108,0.0,848500,42257,10800,901557
41,312,1775,27,72.3,110,0.0,887500,40751,11000,939251
42,312,1822,27,73.3,111,0.0,911000,40776,11100,962876
43,312,1873,27,74.3,113,0.0,936500,40704,11300,988504
44,313,1925,26,75.4,114,0.0,962500,39230,11400,1013130
45,313,1963,26,76.2,115,0.0,981500,39228,11500,1032228
46,314,2016,25,77.3,116,0.0,1008000,37757,11600,1057357
47,314,2081,25,78.7,118,0.0,1040500,37724,11800,1090024
48,314,2137,25,79.8,119,0.0,1068500,37770,11900,1118170
49,316,2179,23,80.7,120,0.0,1089500,34757,12000,1136257
50,316,2230,23,81.8,122,0.0,1115000,34692,12200,1161892
51,316,2275,23,82.7,123,0.0,1137500,34705,12300,1184505
52,318,2335,21,84.0,124,0.0,1167500,31734,12400,1211634
53,320,2386,19,85.0,125,0.0,1193000,28740,12500,1234240
54,321,2451,18,86.4,126,0.0,1225500,27297,12600,1265397
55,321,2516,18,87.7,128,0.0,1258000,27258,12800,1298058
56,321,2586,18,89.2,130,0.0,1293000,27235,13000,1333235
57,321,2653,18,90.6,132,0.0,1326500,27209,13200,1366909
58,321,2712,18,91.8,133,0.0,1356000,27254,13300,1396554
59,321,2764,18,92.9,134,0.0,1382000,27288,13400,1422688
60,321,2832,18,94.3,136,0.0,1416000,27257,13600,1456857
61,323,2881,16,95.3,137,0.0,1440500,24251,13700,1478451
62,324,2927,15,96.3,138,0.0,1463500,22750,13800,1500050
63,325,2984,14,97.5,139,0.0,1492000,21275,13900,1527175
64,325,3065,14,99.2,141,0.0,1532500,21278,14100,1567878
65,325,3132,14,100.6,143,0.0,1566000,21246,14300,1601546
66,326,3193,13,101.8,144,0.0,1596500,19778,14400,1630678
67,327,3271,12,103.5,146,0.0,1635500,18252,14600,1668352
68,327,3314,12,104.4,147,0.0,1657000,18258,14700,1689958
69,328,3369,11,105.5,148,0.0,1684500,16771,14800,1716071
70,330,3440,9,107.0,149,0.0,1720000,13791,14900,1748691
71,330,3496,9,108.1,150,0.0001,1748000,13834,15000,1776834
72,331,3562,8,109.5,152,0.0001,1781000,12261,15200,1808461
73,332,3636,7,111.1,153,0.0001,1818000,10804,15300,1844104
